Date;Close;Open;High;Low;Volume;Variation %
27/02/2024;60;60.1;65;59.6;12750000;0.00%
26/02/2024;60;65;65;60;5130000;-7.69%
23/02/2024;65;65;65.5;62;1650000;0.00%
22/02/2024;65;65;66;65;1270000;0.00%
21/02/2024;65;65;65;64.6;4080000;0.00%
20/02/2024;65;67.4;65.2;64.05;4280000;-3.56%
19/02/2024;67.4;69.6;69;67.4;4240000;-3.16%
16/02/2024;69.6;69.5;70;69.6;2520000;0.14%
15/02/2024;69.5;72.9;70.1;69.45;1390000;-4.66%
14/02/2024;72.9;72.9;72.4;69.05;742880;0.00%
13/02/2024;72.9;72;72.9;72.9;970440;1.25%
12/02/2024;72;72;75.4;72;943650;0.00%
09/02/2024;72;69;72;70;3270000;4.35%
08/02/2024;69;75.5;69;67.95;8730000;-8.61%
07/02/2024;75.5;80;76.7;72;2770000;-5.63%
06/02/2024;80;80;80;76;2390000;0.00%
05/02/2024;80;80;81.9;77.95;3290000;0.00%
02/02/2024;80;74.65;82.1;80;4730000;7.17%
01/02/2024;74.65;67.9;74.65;68;4180000;9.94%
31/01/2024;67.9;74.6;76;67.9;3690000;-8.98%
30/01/2024;74.6;82.65;82.9;74.6;4930000;-9.74%
29/01/2024;82.65;82.65;84;79.55;5530000;0.00%
26/01/2024;82.65;80;82.65;82;3940000;3.31%
25/01/2024;80;77.95;80;78.5;6320000;2.63%
24/01/2024;77.95;75;78;77.95;3120000;3.93%
23/01/2024;75;79;78;75;4270000;-5.06%
22/01/2024;79;80;79;79;2960000;-1.25%
19/01/2024;80;76.5;80;76.5;3630000;4.58%
18/01/2024;76.5;73.3;80.2;76.5;4520000;4.37%
17/01/2024;73.3;81.4;89.5;73.3;6400000;-9.95%
16/01/2024;81.4;74;81.4;81.3;6550000;10.00%
15/01/2024;74;68.2;75;68.5;6000000;8.50%
12/01/2024;68.2;67.5;68.4;68;2740000;1.04%
11/01/2024;67.5;67.5;67.5;65.8;4730000;0.00%
10/01/2024;67.5;67.8;67.8;67.1;9590000;-0.44%
09/01/2024;67.8;65;67.8;65;4450000;4.31%
08/01/2024;65;65;65;65;2290000;0.00%
05/01/2024;65;66.05;65;60;2510000;-1.59%
04/01/2024;66.05;63.25;68.95;66.05;3640000;4.43%
03/01/2024;63.25;57.5;63.25;63.25;1810000;10.00%
02/01/2024;57.5;57;57.5;57.5;1560000;0.88%
